"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6PBUMPEC","webpage","","","L’avenir des vins et spiritueux à l’horizon 2030 vu par les professionnels de la filière","Agro Media","","","","https://www.agro-media.fr/dossier/lavenir-des-vins-et-spiritueux-a-lhorizon-2030-vu-par-les-professionnels-du-secteur-56003.html/","Organisé par Vinexposium en juin dernier, le Symposium « Act for Change » a réuni 35 experts internationaux de 17 nationalités autour d’une série de débats prospectifs sur l’av","","2025-03-17 13:29:57","2025-03-17 13:29:57","2025-03-17 13:29:46","","","","","","","","","","","","","","fr-FR","","","","","","","","","false","https://www.agro-media.fr/dossier/lavenir-des-vins-et-spiritueux-a-lhorizon-2030-vu-par-les-professionnels-du-secteur-56003.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCSFPSEX","webpage","","","""L'industrie du vin devient de plus en plus imprévisible, la géopolitique n'est qu'un des nombreux défis""","","","","","https://www.vitisphere.com/https:/www.vitisphere.com/actualite-103984-lindustrie-du-vin-devient-de-plus-en-plus-imprvisible-la-gopolitique-nest-quun-des-nombreux-dfis.html","C’est le défi d’avenir des vignerons et négociants : conquérir de nouveaux consommateurs, qu’il s’agisse des jeunes sur des marchés établis en déclin ou","","2025-03-17 13:31:17","2025-03-17 13:31:17","2025-03-17 13:31:17","","","","","","","","","","","","","","fr","","","","","","","","","/Users/camillejeanningros/Zotero/storage/E6S6XGUA/actualite-103984-lindustrie-du-vin-devient-de-plus-en-plus-imprvisible-la-gopolitique-nest-quun.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VINDQD37","webpage","2016","","Ces start-up françaises qui révolutionnent la viticulture","","","","","https://www.bpifrance.fr/nos-actualites/ces-start-francaises-qui-revolutionnent-la-viticulture","Alors que la filière viticole française est mondialement reconnue pour la qualité de son savoir-faire, plusieurs solutions innovantes ont émergé grâce à de jeunes pousses spécialisées dans les nouvelles technologies et le numérique.","2016-12-26","2025-03-17 13:31:30","2025-03-17 13:31:30","2025-03-17 13:31:30","","","","","","","","","","","","","","fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9V2B326Q","blogPost","2022","Connect_TV","Vin bio, responsable, naturel, biodynamie… Comment s’y retrouver?","Terra Vitis","","","","https://terravitis.com/vin-bio-vin-responsable-vin-naturel-biodynamie-quelles-differences/","Quelles sont les principales certifications du secteur viticole ? Quelles différences entre un vin bio et un vin TERRA VITIS ? On vous dit tout !","2022-06-29","2025-03-17 13:31:39","2025-03-17 13:31:39","2025-03-17 13:31:39","","","","","","","","","","","","","","fr-FR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IHLE9H3G","webpage","","","Filles de Vignes, hors-série : Table ronde « Existe-t-il un féminisme viticole ? » | RadioVino","","","","","https://www.radiovino.fr/filles-de-vignes-hors-serie-table-ronde-existe-t-il-un-feminisme-viticole/","","","2025-03-17 21:55:27","2025-03-17 21:55:27","2025-03-17 21:55:27","","","","","","","Filles de Vignes, hors-série","","","","","","","fr-FR","","","","","","","","","/Users/camillejeanningros/Zotero/storage/4IAEBDD2/filles-de-vignes-hors-serie-table-ronde-existe-t-il-un-feminisme-viticole.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PPSXQZYM","webpage","","","Les femmes et la vigne. une histoire économique et sociale - 1850-2010","Le serveur de diffusion de l'université Bourgogne europe","","","","https://mediaserveur.u-bourgogne.fr/permalink/v125ce60084218p7luk7/","","","2025-03-18 21:47:24","2025-03-18 21:47:56","2025-03-18 21:47:24","","","","","","","","","","","","","","fr","","","","","","","","","/Users/camillejeanningros/Zotero/storage/FS4A4TXF/iframe.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPRGMN9N","webpage","","Guillaume Bodin","La clef des terroirs - film documentaire français","YouTube","","","","https://www.youtube.com/channel/UC2aS43Ze7H_L-7FZyCuHQiA","🍷 🎥 Vigneron-Cinéaste & 🏔️⛷️🧗‍♂️🚴‍♂️👨‍🌾🍾","","2025-03-18 21:48:14","2025-03-18 21:52:04","2025-03-18 21:48:14","","","","","","","","","","","","","","fr-FR","","","","","","","","","/Users/camillejeanningros/Zotero/storage/78RN5C5Q/watch.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIGSC9UC","journalArticle","2018","Zancarini-Fournel, Michelle","Jean-Louis Escudier, Les Femmes et la vigne. Une histoire économique et sociale (1850-2010)","Clio. Femmes, Genre, Histoire","","1252-7017","10.4000/clio.15503","https://journals.openedition.org/clio/15503","Du travail des femmes dans la viticulture nous connaissions au mieux l’article de 1979 de Laura Frader sur les femmes et leurs familles dans les luttes viticoles de l’Aude avant la guerre de 1914 ou encore les entretiens recueillis par un collectif d’historiennes et d’anthropologues de Toulouse, publiés en 1981 dans un petit livre à couverture jaune par l’Atelier du Gué. C’est dire à quel point la synthèse de Jean-Louis Escudier envisagée dans la longue durée vient combler un manque. En se ré...","2018-12-01","2025-03-19 08:18:53","2025-03-19 08:18:53","2025-03-19 08:18:53","","","48","","","","","","","","","","","fr","All rights reserved","","","","journals.openedition.org","","Number: 48 Publisher: Éditions Belin","","/Users/camillejeanningros/Zotero/storage/6QHLECD3/Zancarini-Fournel - 2018 - Jean-Louis Escudier, Les Femmes et la vigne. Une histoire économique et sociale (1850-2010).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RDS9HGSM","blogPost","2024","worldwinewomen","Les vigneronnes auraient-elles une conscience écologique plus aboutie que les vignerons ?","AgriGenre","","","","https://agrigenre.hypotheses.org/22102","Ce texte est la troisième publication d'une longue série portant sur l'écoféminisme et la viticulture. La dernière publication sera en ligne le mois prochain. Bonnes lectures ! Nous avons réalisé une enquête statistique sur un échantillon de 172 vignerons et vigneronnes (51% de femmes) afin de vérifier l’observation sur le terrain de la différence de … Continuer la lecture de Les vigneronnes auraient-elles une conscience écologique plus aboutie que les vignerons ? →","2024-11-01","2025-03-19 08:25:19","2025-03-19 08:25:19","2025-03-19 08:25:19","","","","","","","","","","","","","","fr-FR","","Billet","","","","","ISSN: 2726-3819 DOI: 10.58079/12lqs","","/Users/camillejeanningros/Zotero/storage/KQSQYKGB/22102.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KYP32Z5S","blogPost","2024","Rochard, Jean andré","Coupes budgétaires du Christelle Morançais : 698 acteurs culturels écrivent à Edouard Philippe","Média Web","","","","https://media-web.fr/coupes-budgetaires-du-christelle-morancais-658-acteurs-culturels-ecrivent-a-edouard-philippe/","Christelle Morançais n’en finit pas d’attirer les foudres de toutes parts suite à ses décisions de coupes budgétaires sans concertation. Une lettre ouverte des acteurs culturels de la région Pays de la Loire à Monsieur Édouard Philippe, président du parti Horizons, candidat à la prochaine élection présidentielle. Monsieur le Premier ministre, Par cette lettre ouverte, […]","2024-12-16","2025-03-20 20:05:24","2025-03-20 20:05:24","2025-03-20 20:05:24","","","","","","","Coupes budgétaires du Christelle Morançais","","","","","","","fr-FR","","","","","","","","","/Users/camillejeanningros/Zotero/storage/EI3VIHKB/coupes-budgetaires-du-christelle-morancais-658-acteurs-culturels-ecrivent-a-edouard-philippe.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2Q2QLHFD","webpage","2024","Dumas, Thibault","La liste des coupes budgétaires de la région Pays de la Loire","","","","","https://www.mediacites.fr/decryptage/nantes/2024/11/28/la-liste-des-coupes-budgetaires-de-la-region-pays-de-la-loire/","Une trentaine d’interlocuteurs contactés et une centaine de documents de travail internes à la région Pays de la Loire consultés. Sur cette base, Mediacités peut retracer la route périlleuse qu’emprunte la présidente (Horizons) Christelle Morançais pour faire adopter le 19 décembre prochain un budget, amputé sur 1,2 milliard de dépenses de fonctionnement en 2024. Depuis","2024-11-28","2025-03-20 20:10:52","2025-03-20 20:10:52","2025-03-20 20:10:52","","","","","","","","","","","","","","fr-FR","","","","","","","","","/Users/camillejeanningros/Zotero/storage/62K6WV9R/la-liste-des-coupes-budgetaires-de-la-region-pays-de-la-loire.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U732M75J","webpage","2024","ROBIN, Claire","Coupes budgétaires en Pays de la Loire. Les syndicats agricoles touchés eux aussi","Ouest-France.fr","","","","https://www.ouest-france.fr/economie/agriculture/coupes-budgetaires-en-pays-de-la-loire-les-syndicats-agricoles-touches-eux-aussi-8f5dafce-acb0-11ef-9f0f-abd6acfb270c","Les restrictions budgétaires toucheront aussi l’agriculture régionale. En Pays de la Loire, les instances régionales des syndicats agricoles (FRSEA, JA, Confédération paysanne et Coordination rurale) vont devoir faire sans leur subvention régionale à partir de 2025.","2024-11-27","2025-03-20 20:10:59","2025-03-20 20:10:59","2025-03-20 20:10:59","","","","","","","","","","","","","","fr","","","","","","","Section: Agriculture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WHTKUAP","blogPost","2025","worldwinewomen","Vigneronne | AgriGenre","","","","","https://agrigenre.hypotheses.org/tag/vigneronne","","2025-01-01","2025-03-20 20:25:19","2025-03-20 20:25:26","2025-03-20 20:25:19","","","","","","","","","","","","","","fr-FR","","","","","","","ISSN: 2726-3819","","/Users/camillejeanningros/Zotero/storage/DS8NQVCI/vigneronne.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZDNKIRL","webpage","2025","","TÉMOIGNAGE. ""Parfois, je n’ai plus envie de travailler dans le monde du vin"" : neuf agressions sexuelles en huit ans pour cette vigneronne","France 3 Occitanie","","","","https://france3-regions.francetvinfo.fr/occitanie/gard/nimes/temoignage-parfois-je-n-ai-plus-envie-de-travailler-dans-le-monde-du-vin-neuf-agressions-sexuelles-en-huit-ans-pour-cette-vigneronne-3111694.html","Le milieu viticole est encore aujourd’hui particulièrement masculin, mais de plus en plus de femmes tentent de se faire une place. Pour autant, la situation n’est pas toujours facile, et nombreuses sont celles qui dénoncent...","2025-02-23","2025-03-26 13:21:22","2025-03-26 13:21:22","2025-03-26 13:21:22","","","","","","","TÉMOIGNAGE. ""Parfois, je n’ai plus envie de travailler dans le monde du vin""","","","","","","","fr-FR","","","","","","","","","/Users/camillejeanningros/Zotero/storage/RN9LWQFQ/temoignage-parfois-je-n-ai-plus-envie-de-travailler-dans-le-monde-du-vin-neuf-agressions-sexuel.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UY2J6WDJ","webpage","","","La ferme HI bride, Villelaure | matali crasset","","","","","https://www.matalicrasset.com/fr/projet/la-ferme-hi-bride-villelaure","","","2025-03-26 18:42:17","2025-03-26 18:42:17","2025-03-26 18:42:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JQJNRSBZ","webpage","","","S'installer en agriculture - Pays de la Loire - S'installer en agriculture - Pays de la Loire","","","","","https://pays-de-la-loire.sinstallerenagriculture.fr/","","","2025-03-27 22:26:07","2025-03-27 22:26:07","2025-03-27 22:26:07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BPNI6KND","webpage","","","CIAP Pays de la Loire – Coopérative d'Installation en Agriculture Paysanne","","","","","https://ciap-pdl.fr/","","","2025-03-27 22:26:16","2025-03-27 22:26:16","2025-03-27 22:26:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YP9CDILC","webpage","2024","admin","Tout va très bien madame la vigneronne ?","Les Autres Possibles","","","","https://lesautrespossibles.fr/femmes-vin/","Les femmes gagnent peu à peu leur place dans le vignoble nantais, mais restent rares à la tête des exploitations.","2024-09-02","2025-03-31 11:38:03","2025-03-31 11:38:06","2025-03-31 11:38:03","","","","","","","","","","","","","","fr-FR","","","","","","","","","/Users/camillejeanningros/Zotero/storage/627THV8L/femmes-vin.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7UDIG9HR","webpage","2025","","Manuel déterre, pour une agriculture féministe et paysanne","","","","","https://www.blast-info.fr/articles/2024/manuel-deterre-pour-une-agriculture-feministe-et-paysanne-rBosMrsrSASSyHqcVuiBFg","Manuel déterre est une série de cinq portraits audio qui enquête sur les parcours et les réalités matérielles des femmes et minorités de genre qui s’engagent dans des trajectoires agricoles aujourd’hui en France. Celles non issues du milieu ou réduites au…","2025-03-23","2025-03-31 20:14:11","2025-03-31 20:14:14","2025-03-31 20:14:11","","","","","","","","","","","","","","","","","","","","","","","/Users/camillejeanningros/Zotero/storage/II25X7KB/manuel-deterre-pour-une-agriculture-feministe-et-paysanne-rBosMrsrSASSyHqcVuiBFg.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MVXXNKE","blogPost","2022","lab-delta","Soutenir ce qui nous soutient : faire de l’infrastructure féministe","Lab-Delta","","","","https://www.labdelta.ca/soutenir-ce-qui-nous-soutient-faire-de-linfrastructure-feministe/","Par SpiderAlex Résumé Nous sommes assises dans AnarchaServer notre serveur féministe (AS). Elle existe dans un espace d’environ 12 m2 réhabilité il y a 4 ans, dans une communauté nommée Calafou en Catalogne, et dans des machines virtuelles installées dans des serveurs physiques localisés dans plusieurs pays. Sa manifestation physique inclut des références aux personnes qui […]","2022-03-23","2025-03-31 20:14:18","2025-03-31 20:14:21","2025-03-31 20:14:18","","","","","","","Soutenir ce qui nous soutient","","","","","","","fr-CA","","","","","","","","","/Users/camillejeanningros/Zotero/storage/PNM5HECK/soutenir-ce-qui-nous-soutient-faire-de-linfrastructure-feministe.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4537LFU","videoRecording","2023","Guillaume Bodin","🍷 La Clef des Terroirs 🎥 Film documentaire français","","","","","https://www.youtube.com/watch?v=RgDfFsOyjz4","","2023-03-30","2025-03-31 20:17:12","2025-03-31 20:17:15","2025-03-31 20:17:12","","","","","","","","","","","","","","","","","","","YouTube","","","","","","","","","","","","","","","","","","","","","","","","","","","","1:21:36","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBKLEN2A","webpage","","","💌 Vinofutur : votre veille 🍷 est arrivée !","","","","","https://us11.campaign-archive.com/?u=533cd2e024848005319e4b1fd&id=002414ff29","","","2025-03-31 20:17:41","2025-03-31 20:17:43","2025-03-31 20:17:41","","","","","","","💌 Vinofutur","","","","","","","","","","","","","","","","/Users/camillejeanningros/Zotero/storage/X8Q42RTI/us11.campaign-archive.com.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNBVKIR5","webpage","","","💌 Vinofutur : votre veille 🍷 est arrivée !","","","","","https://us11.campaign-archive.com/?u=533cd2e024848005319e4b1fd&id=9b57e3b7dc","","","2025-03-31 20:17:48","2025-03-31 20:17:50","2025-03-31 20:17:48","","","","","","","💌 Vinofutur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEQ2PYBU","journalArticle","","Cathelineau, François; Benayoun, Yaël; Independante, Sociologue-Consultante","RAPPORT RÉALISÉ PAR L’AGENCE PHARE & YAËL BENAYOUN","","","","","","","","2025-03-31 20:19:59","2025-03-31 20:20:20","","P.26","","","","","","","","","","","","","fr","","","","","Zotero","","","","/Users/camillejeanningros/Zotero/storage/7BCITVZP/Phare-YB_FNAB_MDP_VF_2025.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRFCEV7Z","webpage","","","Le vin à la conquête des jeunes, ou comment faire rimer convivial et digital","","","","","https://www.vitisphere.com/https:/www.vitisphere.com/actualite-104018-le-vin-la-conqute-des-jeunes-ou-comment-faire-rimer-convivial-et-digital.html","Naviguant, tout autant que les Européens, dans des eaux géopolitiques troubles actuellement, le secteur vitivinicole californien n’en reste pas moins attentif","","2025-03-31 22:31:40","2025-03-31 22:31:40","2025-03-31 22:31:40","","","","","","","","","","","","","","fr","","","","","","","","","/Users/camillejeanningros/Zotero/storage/QSSV3AP9/actualite-104018-le-vin-la-conqute-des-jeunes-ou-comment-faire-rimer-convivial-et-digital.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHJLT623","blogPost","2024","worldwinewomen","Sexisme et inégalités de genre dans le monde viticole","AgriGenre","","","","https://agrigenre.hypotheses.org/21593","Ce texte est la deuxième publication d'une série portant sur l'écoféminisme et la viticulture. Deux autres publications suivront au cours des mois à venir. Bonnes lectures ! 1.   Stéréotypes de genre et problème de légitimité des vigneronnes a.    Les femmes dans le vin : glamour, paillettes et talons aiguilles Dans l’imaginaire commun, les étapes d’élaboration … Continuer la lecture de Sexisme et inégalités de genre dans le monde viticole →","2024-10-01","2025-04-01 11:28:41","2025-04-01 11:28:41","2025-04-01 11:28:41","","","","","","","","","","","","","","fr-FR","","Billet","","","","","ISSN: 2726-3819 DOI: 10.58079/12e4m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
